,brand,selling price,kilometer,Fuel Type,Transmission
62,2016 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,₹4.32 Lakh,"60,480 km",Petrol,Manual
63,2010 Maruti Wagon R 1.0 VXI,₹1.99 Lakh,"69,320 km",Petrol,Manual
64,2015 Hyundai Xcent BASE 1.2,₹3.55 Lakh,"42,821 km",Petrol,Manual
65,2014 Volkswagen Polo HIGHLINE1.2L,₹4.22 Lakh,"40,732 km",Petrol,Manual
66,2016 Hyundai Grand i10 ASTA (O) AT 1.2 KAPPA VTVT,₹5.11 Lakh,"49,483 km",Petrol,Automatic
67,2013 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,₹3.67 Lakh,"27,117 km",Petrol,Manual
68,2013 Maruti Swift VXI,₹3.13 Lakh,"69,687 km",Petrol,Manual
69,2014 Maruti Swift Dzire ZDI,₹6.25 Lakh,"11,144 km",Diesel,Manual
70,2021 Hyundai Verna SX 1.5 VTVT,₹9.23 Lakh,"15,981 km",Petrol,Manual
71,2018 Maruti Swift ZDI PLUS AMT,₹7.16 Lakh,"76,264 km",Diesel,Automatic
72,2013 Maruti Wagon R 1.0 VXI,₹2.62 Lakh,"26,644 km",Petrol,Manual
73,2015 Maruti Wagon R 1.0 LXI CNG,₹3.67 Lakh,"78,505 km",CNG,Manual
74,2016 Honda City 1.5L I-VTEC VX CVT,₹7.37 Lakh,"30,247 km",Petrol,Automatic
75,2022 Tata PUNCH CREATIVE 1.2 AMT KAZIRANGA EDITION ,₹8.67 Lakh,"6,205 km",Petrol,Automatic
76,2017 Honda WR-V 1.2L I-VTEC VX MT,₹6.15 Lakh,"65,765 km",Petrol,Manual
77,2016 Hyundai Elite i20 SPORTZ 1.2,₹5.17 Lakh,"82,256 km",Petrol,Manual
78,2010 Maruti A Star VXI,₹1.52 Lakh,"70,875 km",Petrol,Manual
79,2012 Maruti Wagon R 1.0 LXI,₹2.12 Lakh,"99,964 km",Petrol,Manual
80,2016 Skoda Rapid STYLE 1.5 TDI AT,₹5.53 Lakh,"1,14,346 km",Diesel,Automatic
81,2015 Hyundai i20 Active 1.2 S,₹4.77 Lakh,"41,585 km",Petrol,Manual
82,2015 Maruti Wagon R 1.0 LXI CNG,₹3.19 Lakh,"70,487 km",CNG,Manual
83,2012 Honda City 1.5L I-VTEC V MT,₹3.44 Lakh,"1,03,903 km",Petrol,Manual
84,2013 Maruti Ertiga VDI,₹5.60 Lakh,"99,285 km",Diesel,Manual
85,2018 Renault Kwid RXT 0.8 (O),₹3.18 Lakh,"12,648 km",Petrol,Manual
86,2015 Maruti Swift VXI,₹3.93 Lakh,"1,16,210 km",Petrol,Manual
87,2014 Maruti Wagon R 1.0 LXI CNG,₹3.41 Lakh,"57,238 km",CNG,Manual
88,2015 Maruti Ciaz VXI,₹4.65 Lakh,"78,426 km",Petrol,Manual
89,2011 Volkswagen Jetta HIGHLINE TDI AT,₹4.48 Lakh,"1,08,631 km",Diesel,Automatic
90,2014 Honda Brio S MT,₹2.63 Lakh,"93,987 km",Petrol,Manual
91,2016 Honda City 1.5L I-VTEC VX CVT,₹6.80 Lakh,"92,419 km",Petrol,Automatic
92,2022 Renault Kwid RXT 1.0,₹5.42 Lakh,"7,836 km",Petrol,Manual
93,2016 Maruti Swift VDI,₹5.22 Lakh,"89,183 km",Diesel,Manual
94,2019 Renault Kwid RXT 1.0 (O),₹3.68 Lakh,"21,885 km",Petrol,Manual
95,2019 Hyundai Verna 1.6 VTVT SX O,₹8.95 Lakh,"33,202 km",Petrol,Manual
96,2018 Tata Tiago XZ PETROL,₹4.31 Lakh,"42,107 km",Petrol,Manual
97,2013 Maruti Wagon R 1.0 VXI,₹2.81 Lakh,"84,252 km",Petrol,Manual
98,2020 Maruti New Wagon-R LXI CNG 1.0,₹5.78 Lakh,"57,213 km",CNG,Manual
99,2018 Tata Tiago XZ PETROL,₹4.30 Lakh,"24,754 km",Petrol,Manual
100,2011 Maruti Swift LXI,₹2.63 Lakh,"58,036 km",Petrol,Manual
101,2014 Honda Amaze 1.2L I-VTEC S,₹3.48 Lakh,"57,490 km",Petrol,Manual
102,2019 Renault Kwid RXT 1.0 (O),₹3.63 Lakh,"18,413 km",Petrol,Manual
103,2015 Maruti Wagon R 1.0 LXI CNG,₹3.46 Lakh,"59,722 km",CNG,Manual
104,2017 Honda City 1.5L I-VTEC ZX CVT,₹8.14 Lakh,"73,890 km",Petrol,Automatic
105,2017 Maruti Swift VDI,₹5.04 Lakh,"78,195 km",Diesel,Manual
106,2016 Maruti Vitara Brezza VDI,₹6.59 Lakh,"76,717 km",Diesel,Manual
107,2015 Maruti Wagon R 1.0 VXI,₹3.38 Lakh,"26,527 km",Petrol,Manual
108,2020 KIA SELTOS HTX 1.5 PETROL,₹12.52 Lakh,"15,444 km",Petrol,Manual
109,2016 Maruti Alto 800 LXI,₹2.53 Lakh,"39,770 km",Petrol,Manual
110,2016 Toyota Corolla Altis VL CVT PETROL,₹7.73 Lakh,"93,355 km",Petrol,Automatic
111,2022 Maruti BREZZA ZXI SMART HYBRID ,₹12.10 Lakh,"5,189 km",Petrol,Manual
112,2016 Hyundai Elite i20 SPORTZ 1.2,₹4.57 Lakh,"98,607 km",Petrol,Manual
113,2013 Honda CRV 2.0L 2WD MT,₹5.32 Lakh,"1,01,404 km",Petrol,Manual
114,2012 Maruti Wagon R 1.0 VXI,₹2.65 Lakh,"42,314 km",Petrol,Manual
115,2021 Maruti New Wagon-R LXI CNG (O) 1.0,₹6.37 Lakh,"16,140 km",CNG,Manual
116,2013 Honda City 1.5L I-VTEC V MT,₹3.55 Lakh,"64,545 km",Petrol,Manual
117,2015 Maruti Ciaz VXI,₹5.62 Lakh,"40,092 km",Petrol,Manual
118,2018 Maruti Alto K10 LXI CNG,₹3.41 Lakh,"54,171 km",CNG,Manual
119,2015 Honda Brio S MT,₹3.73 Lakh,"52,053 km",Petrol,Manual
120,2017 Renault Kwid CLIMBER 1.0 AMT,₹3.04 Lakh,"67,287 km",Petrol,Automatic
121,2015 Maruti Wagon R 1.0 LXI CNG,₹3.47 Lakh,"85,592 km",CNG,Manual
122,2015 Hyundai Creta SX (O) 1.6 DIESEL,₹8.34 Lakh,"86,928 km",Diesel,Manual
123,2019 Renault Kwid RXT 0.8 (O),₹3.60 Lakh,"15,175 km",Petrol,Manual
124,2016 Hyundai Verna FLUIDIC 1.6 CRDI S 4S,₹5.37 Lakh,"77,811 km",Diesel,Manual
125,2013 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,₹3.52 Lakh,"62,209 km",Petrol,Manual
126,2018 Hyundai NEW SANTRO SPORTZ CNG,₹5.07 Lakh,"91,265 km",CNG,Manual
127,2016 Hyundai Elite i20 MAGNA 1.2,₹4.66 Lakh,"56,991 km",Petrol,Manual
128,2015 Maruti Wagon R 1.0 LXI CNG,₹3.36 Lakh,"57,643 km",CNG,Manual
129,2017 Maruti Wagon R 1.0 VXI,₹3.94 Lakh,"18,953 km",Petrol,Manual
130,2017 Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,₹5.64 Lakh,"40,049 km",Petrol,Automatic
131,2016 Hyundai Elite i20 SPORTZ 1.2,₹5.31 Lakh,"65,426 km",Petrol,Manual
132,2018 Maruti Dzire ZXI,₹5.01 Lakh,"1,06,701 km",Petrol,Manual
133,2021 Honda Amaze 1.2L I-VTEC VX CVT,₹8.12 Lakh,"23,076 km",Petrol,Automatic
134,2015 Honda City 1.5L I-VTEC SV,₹4.87 Lakh,"62,499 km",CNG,Manual
135,2021 Nissan MAGNITE XV PREMIUM TURBO CVT,₹8.91 Lakh,"12,964 km",Petrol,Automatic
136,2018 Toyota Corolla Altis VL CVT PETROL,₹10.75 Lakh,"74,141 km",Petrol,Automatic
137,2015 Honda Jazz 1.2L I-VTEC VX,₹4.53 Lakh,"40,812 km",Petrol,Manual
138,2020 Tata TIGOR XZ PLUS PETROL,₹6.46 Lakh,"12,239 km",Petrol,Manual
139,2017 Datsun Redi Go T,₹2.21 Lakh,"6,873 km",Petrol,Manual
140,2019 Tata TIAGO JTP 1.2 PETROL,₹5.17 Lakh,"18,025 km",Petrol,Manual
141,2015 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,₹4.08 Lakh,"64,384 km",Petrol,Manual
142,2013 Maruti Wagon R 1.0 LXI CNG,₹3.28 Lakh,"59,303 km",CNG,Manual
143,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,₹4.17 Lakh,"57,790 km",Petrol,Manual
144,2015 Hyundai Elite i20 SPORTZ 1.2,₹5.24 Lakh,"27,625 km",Petrol,Manual
145,2017 Hyundai Elite i20 ERA 1.2,₹4.59 Lakh,"77,121 km",Petrol,Manual
146,2020 KIA SONET HTX PLUS 1.0 IMT,₹10.01 Lakh,"35,800 km",Petrol,Manual
147,2019 Renault Kwid RXT 0.8,₹4.00 Lakh,"3,134 km",Petrol,Manual
148,2015 Maruti Ciaz ZXI+,₹5.73 Lakh,"67,874 km",Petrol,Manual
149,2015 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,₹3.78 Lakh,"60,162 km",Petrol,Manual
150,2019 Hyundai NEW SANTRO SPORTZ CNG,₹4.68 Lakh,"66,471 km",CNG,Manual
151,2017 Honda City 1.5L I-VTE V CVT,₹8.50 Lakh,"42,660 km",Petrol,Automatic
152,2012 Maruti Swift LXI,₹2.93 Lakh,"29,397 km",Petrol,Manual
153,2016 Hyundai Verna FLUIDIC 1.6 CRDI SX 4S,₹5.55 Lakh,"77,672 km",Diesel,Manual
154,2017 Honda WR-V 1.2L I-VTEC VX MT,₹6.34 Lakh,"36,574 km",Petrol,Manual
155,2013 Honda CRV 2.4L 2WD AT,₹6.67 Lakh,"74,534 km",Petrol,Automatic
156,2014 Maruti Wagon R 1.0 VXI,₹2.84 Lakh,"53,113 km",Petrol,Manual
157,2022 Honda City 1.5L I-VTEC VX CVT,₹12.61 Lakh,"13,594 km",Petrol,Automatic
158,2015 Maruti Wagon R 1.0 VXI,₹3.26 Lakh,"91,399 km",Petrol,Manual
159,2013 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,₹3.54 Lakh,"34,493 km",Petrol,Manual
160,2015 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,₹4.36 Lakh,"38,431 km",Petrol,Manual
161,2013 Maruti Wagon R 1.0 LXI,₹2.77 Lakh,"34,093 km",Petrol,Manual
162,2018 Hyundai Elite i20 ASTA 1.2  CVT,₹6.47 Lakh,"39,674 km",CNG,Automatic
163,2019 Hyundai Elite i20 ASTA 1.2  CVT,₹6.36 Lakh,"25,392 km",Petrol,Automatic
164,2018 Hyundai NEW SANTRO ASTA MT,₹4.66 Lakh,"18,710 km",Petrol,Manual
165,2019 Honda Amaze 1.2L I-VTEC V CVT,₹6.38 Lakh,"26,733 km",Petrol,Automatic
166,2017 Maruti Ertiga ZDI + SHVS,₹7.93 Lakh,"1,10,110 km",Diesel,Manual
167,2020 Ford FREESTYLE TITANIUM 1.2 PETROL,₹5.95 Lakh,"11,183 km",Petrol,Manual
168,2022 Hyundai NEW I20 ASTA (O) 1.2 MT,₹8.82 Lakh,"17,575 km",Petrol,Manual
169,2016 Hyundai Creta SX PLUS AT 1.6 PETROL,₹8.82 Lakh,"68,536 km",Petrol,Automatic
170,2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,₹4.16 Lakh,"33,576 km",Petrol,Manual
171,2017 Maruti Ciaz DELTA 1.4 MT PETROL,₹5.40 Lakh,"47,766 km",Petrol,Manual
172,2015 Maruti Swift ZXI,₹4.54 Lakh,"55,952 km",Petrol,Manual
173,2017 Renault Kwid RXT 0.8,₹2.89 Lakh,"47,556 km",Petrol,Manual
174,2021 Toyota YARIS J CVT,₹8.92 Lakh,"17,243 km",Petrol,Automatic
175,2017 Honda City 1.5L I-VTEC VX CVT,₹8.11 Lakh,"60,973 km",Petrol,Automatic
176,2017 Tata NEXON XM PETROL,₹5.59 Lakh,"50,623 km",CNG,Manual
177,2017 Honda City 1.5L I-VTEC VX,₹7.36 Lakh,"76,238 km",Petrol,Manual
178,2017 Maruti Alto 800 LXI,₹2.81 Lakh,"18,168 km",Petrol,Manual
179,2019 Maruti S PRESSO VXI+,₹3.61 Lakh,"1,05,114 km",Petrol,Manual
180,2019 Renault TRIBER RXZ,₹6.17 Lakh,"21,313 km",Petrol,Manual
181,2016 Hyundai Grand i10 ASTA (O) AT 1.2 KAPPA VTVT,₹4.27 Lakh,"1,15,191 km",Petrol,Automatic
