,brand,selling price,kilometer,Fuel Type,Transmission
267,2016 Hyundai Creta SX PLUS AT 1.6 PETROL,₹8.16 Lakh,"79,827 km",Petrol,Automatic
268,2021 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,₹6.36 Lakh,"32,423 km",CNG,Manual
269,2018 Datsun Go T(O),₹3.28 Lakh,"5,306 km",Petrol,Manual
270,2017 Renault Kwid RXT 0.8,₹3.06 Lakh,"42,530 km",Petrol,Manual
271,2017 Jeep Compass LIMITED (O) 2.0 DIESEL,₹11.15 Lakh,"99,924 km",Diesel,Manual
272,2016 Honda City 1.5L I-VTEC SV,₹4.95 Lakh,"87,292 km",Petrol,Manual
273,2017 Maruti IGNIS DELTA 1.2 AMT,₹5.04 Lakh,"18,979 km",Petrol,Automatic
274,2017 Honda City 1.5L I-VTEC VX,₹7.26 Lakh,"38,736 km",Petrol,Manual
275,2017 Honda BR-V 1.5L I-VTEC S,₹6.34 Lakh,"74,095 km",Petrol,Manual
276,2016 Maruti Celerio VXI,₹3.41 Lakh,"56,155 km",Petrol,Manual
277,2017 Maruti Celerio VXI AMT,₹3.88 Lakh,"44,863 km",Petrol,Automatic
278,2015 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,₹3.59 Lakh,"56,358 km",Petrol,Manual
279,2017 Maruti Wagon R 1.0 VXI + (O) AMT,₹4.25 Lakh,"29,712 km",Petrol,Automatic
280,2019 Toyota Glanza V CVT,₹7.00 Lakh,"37,884 km",Petrol,Automatic
281,2015 Maruti Celerio VXI,₹3.48 Lakh,"18,670 km",Petrol,Manual
282,2019 Maruti Baleno DELTA CVT PETROL 1.2,₹6.56 Lakh,"41,301 km",Petrol,Automatic
283,2021 Honda City 1.5L I-VTEC ZX CVT,₹12.48 Lakh,"22,497 km",Petrol,Automatic
284,2014 Datsun Go A,₹2.20 Lakh,"18,672 km",Petrol,Manual
285,2019 Maruti Celerio ZXI,₹4.35 Lakh,"9,282 km",Petrol,Manual
286,2018 Honda City 1.5L I-VTE V CVT,₹7.63 Lakh,"63,253 km",Petrol,Automatic
287,2015 Mahindra XUV500 W6,₹7.32 Lakh,"94,936 km",Diesel,Manual
288,2020 Tata TIGOR XZA PLUS PETROL,₹6.22 Lakh,"30,717 km",Petrol,Automatic
289,2014 Hyundai Elite i20 ASTA 1.4 CRDI,₹4.98 Lakh,"1,07,143 km",Diesel,Manual
290,2015 Maruti Wagon R 1.0 LXI CNG,₹3.77 Lakh,"67,999 km",CNG,Manual
291,2017 Maruti Ertiga ZDI + SHVS,₹8.17 Lakh,"84,447 km",Diesel,Manual
292,2018 Honda Amaze 1.2L I-VTEC V CVT,₹5.98 Lakh,"69,326 km",Petrol,Automatic
293,2017 Skoda Rapid STYLE 1.5 TDI AT,₹6.13 Lakh,"1,03,928 km",Diesel,Automatic
294,2018 Maruti Ciaz ZETA 1.5 SHVS MT PETROL,₹8.07 Lakh,"15,940 km",Petrol,Manual
295,2019 Toyota Glanza V CVT,₹8.19 Lakh,"9,797 km",Petrol,Automatic
296,2017 Honda City 1.5L I-VTEC VX,₹7.51 Lakh,"31,949 km",Petrol,Manual
297,2016 Maruti Baleno SIGMA PETROL 1.2,₹4.59 Lakh,"37,359 km",Petrol,Manual
298,2015 Hyundai Elite i20 ASTA 1.4 CRDI,₹4.95 Lakh,"80,033 km",Diesel,Manual
299,2021 Maruti New Wagon-R ZXI 1.2 AMT,₹6.14 Lakh,"8,817 km",Petrol,Automatic
300,2017 Hyundai Elite i20 ASTA 1.2,₹5.51 Lakh,"42,625 km",Petrol,Manual
301,2022 Hyundai VENUE SX 1.5 CRDI,₹10.48 Lakh,"42,492 km",Diesel,Manual
302,2018 Maruti Ciaz ZETA 1.5 SHVS MT PETROL,₹6.93 Lakh,"62,649 km",Petrol,Manual
303,2021 Maruti S PRESSO VXI+,₹4.69 Lakh,"4,538 km",Petrol,Manual
304,2011 Hyundai i20 SPORTZ 1.4 CRDI,₹2.34 Lakh,"98,422 km",Diesel,Manual
305,2019 Honda City 1.5L I-VTEC VX CVT,₹9.21 Lakh,"31,963 km",Petrol,Automatic
306,2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,₹3.34 Lakh,"92,957 km",Petrol,Manual
307,2018 Hyundai Grand i10 MAGNA U2 1.2 CRDI,₹4.70 Lakh,"1,13,012 km",Diesel,Manual
308,2017 Skoda Rapid AMBITION 1.5 TDI,₹5.30 Lakh,"1,23,383 km",Diesel,Manual
309,2018 Tata TIGOR XZA PETROL,₹5.72 Lakh,"23,663 km",CNG,Automatic
310,2017 Honda Jazz 1.2L I-VTEC V AT,₹5.37 Lakh,"26,261 km",Petrol,Automatic
311,2015 Hyundai Elite i20 ASTA 1.2,₹4.27 Lakh,"67,007 km",Petrol,Manual
312,2017 Hyundai Verna 1.6 VTVT SX,₹6.98 Lakh,"45,645 km",Petrol,Manual
313,2018 Maruti Ciaz DELTA AT 1.5 SHVS PETROL,₹6.92 Lakh,"40,409 km",Petrol,Automatic
314,2013 Honda City 1.5L I-VTEC V MT,₹3.65 Lakh,"89,401 km",CNG,Manual
315,2011 Toyota Etios G,₹2.65 Lakh,"47,307 km",Petrol,Manual
316,2022 Maruti BREZZA ZXI SMART HYBRID DUAL TONE,₹12.18 Lakh,"11,537 km",Petrol,Manual
317,2019 Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,₹5.62 Lakh,"46,806 km",Petrol,Automatic
318,2021 Tata Safari XZ PLUS,₹21.00 Lakh,"16,340 km",Diesel,Manual
319,2015 Hyundai Elite i20 SPORTZ 1.2 (O),₹4.47 Lakh,"65,135 km",Petrol,Manual
320,2022 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,₹7.73 Lakh,"7,092 km",CNG,Manual
321,2012 Hyundai Verna FLUIDIC 1.6 VTVT EX,₹3.54 Lakh,"61,275 km",Petrol,Manual
322,2019 Hyundai New Elantra 2.0 SX(O) AT PETROL,₹12.05 Lakh,"43,333 km",Petrol,Automatic
323,2018 Jeep Compass LONGITUDE (O) 2.0 DIESEL,₹11.35 Lakh,"34,469 km",Diesel,Manual
324,2014 Volkswagen Jetta HIGHLINE TDI AT,₹6.45 Lakh,"74,563 km",Diesel,Automatic
325,2018 Tata NEXON XM DIESEL,₹6.43 Lakh,"81,108 km",Diesel,Manual
326,2016 Maruti Celerio VXI CNG,₹4.24 Lakh,"70,855 km",CNG,Manual
327,2016 Maruti Baleno ZETA CVT PETROL 1.2,₹4.68 Lakh,"1,10,497 km",Petrol,Automatic
328,2015 Honda Amaze 1.2L I-VTEC S,₹3.74 Lakh,"23,016 km",Petrol,Manual
329,2017 Maruti IGNIS DELTA 1.2 AMT,₹4.60 Lakh,"26,465 km",Petrol,Automatic
330,2019 Tata Harrier XZ 2.0L,₹13.81 Lakh,"51,955 km",Diesel,Manual
331,2013 Volkswagen Polo HIGHLINE1.2L,₹3.54 Lakh,"68,125 km",Petrol,Manual
332,2023 Maruti BREZZA ZXI SMART HYBRID ,₹12.90 Lakh,"10,117 km",Petrol,Manual
333,2019 Honda Amaze 1.2L I-VTEC V CVT,₹7.35 Lakh,"15,781 km",Petrol,Automatic
334,2021 Maruti Ciaz ALPHA 1.5 SHVS PETROL,₹9.35 Lakh,"30,199 km",Petrol,Manual
335,2020 Ford New Figo TITANIUM 1.2 PETROL MT,₹5.71 Lakh,"10,138 km",Petrol,Manual
336,2018 Maruti Celerio X ZXI AMT,₹4.41 Lakh,"29,130 km",Petrol,Automatic
337,2011 Hyundai i20 SPORTZ 1.2,₹2.80 Lakh,"46,875 km",Petrol,Manual
338,2020 Maruti S Cross ALPHA AT SMART HYBRID,₹10.58 Lakh,"29,182 km",Petrol,Automatic
339,2018 Honda Amaze 1.2L I-VTEC S CVT,₹6.18 Lakh,"58,210 km",Petrol,Automatic
340,2019 Honda City 1.5L I-VTEC V MT,₹7.54 Lakh,"27,976 km",Petrol,Manual
341,2020 Ford Figo Aspire TITANIUM PLUS 1.5 DIESEL,₹6.60 Lakh,"36,802 km",Diesel,Manual
342,2021 Honda Jazz 1.2L I-VTEC ZX CVT,₹8.84 Lakh,"14,064 km",Petrol,Automatic
343,2019 Tata Harrier XZ 2.0L,₹13.06 Lakh,"88,987 km",Diesel,Manual
344,2013 Hyundai i10 MAGNA 1.1,₹2.75 Lakh,"22,945 km",Petrol,Manual
345,2017 Honda City 1.5L I-VTEC VX,₹6.73 Lakh,"85,686 km",Petrol,Manual
346,2017 Hyundai Elite i20 ASTA 1.2 (O),₹4.82 Lakh,"36,831 km",Petrol,Manual
347,2014 Maruti Swift Dzire VXI,₹4.11 Lakh,"32,588 km",Petrol,Manual
348,2016 Volkswagen Ameo HIGHLINE1.2L,₹4.58 Lakh,"81,105 km",CNG,Manual
349,2016 Maruti Ertiga VDI SHVS,₹8.35 Lakh,"49,428 km",Diesel,Manual
350,2016 Hyundai Verna 1.6 VTVT SX AT,₹5.99 Lakh,"65,750 km",Petrol,Automatic
351,2019 Honda Amaze 1.5L I-DTEC VX CVT,₹7.42 Lakh,"55,377 km",Diesel,Automatic
352,2017 Maruti Wagon R 1.0 VXI,₹3.75 Lakh,"74,500 km",Petrol,Manual
353,2018 Honda Jazz 1.2L I-VTEC VX,₹5.03 Lakh,"26,068 km",Petrol,Manual
354,2014 Maruti Celerio VXI AMT,₹3.69 Lakh,"21,126 km",Petrol,Automatic
355,2015 Honda Jazz 1.2L I-VTEC VX,₹3.93 Lakh,"72,613 km",Petrol,Manual
356,2020 Maruti S PRESSO VXI+,₹4.01 Lakh,"23,973 km",Petrol,Manual
357,2022 Maruti Vitara Brezza ZXI PLUS AT SHVS,₹11.55 Lakh,"2,080 km",Petrol,Automatic
358,2021 Tata TIGOR XZ PLUS PETROL,₹6.02 Lakh,"33,813 km",Petrol,Manual
359,2016 Maruti Alto 800 LXI,₹2.67 Lakh,"22,625 km",Petrol,Manual
360,2021 Tata Safari XZ PLUS,₹17.33 Lakh,"67,909 km",Diesel,Manual
361,2017 Hyundai Creta E PLUS 1.6 PETROL,₹6.84 Lakh,"1,04,303 km",Petrol,Manual
362,2018 Honda WR-V 1.2L I-VTEC VX MT,₹6.10 Lakh,"44,113 km",Petrol,Manual
363,2019 Maruti Baleno DELTA CVT PETROL 1.2,₹6.25 Lakh,"16,524 km",Petrol,Automatic
364,2016 Hyundai Elite i20 MAGNA 1.2,₹4.88 Lakh,"41,927 km",Petrol,Manual
365,2014 Maruti Wagon R 1.0 LXI CNG,₹3.43 Lakh,"87,074 km",CNG,Manual
366,2017 Honda City 1.5L I-VTEC SV,₹6.52 Lakh,"68,017 km",Petrol,Manual
367,2017 Maruti Dzire VDI AMT,₹6.35 Lakh,"1,04,768 km",Diesel,Automatic
368,2017 Hyundai Grand i10 SPORTZ (O) 1.2 KAPPA VTVT,₹4.08 Lakh,"53,993 km",Petrol,Manual
369,2015 Maruti Wagon R 1.0 LXI CNG,₹3.27 Lakh,"91,511 km",CNG,Manual
370,2015 Honda City 1.5L I-VTEC SV,₹4.99 Lakh,"66,065 km",Petrol,Manual
371,2017 Hyundai Xcent E+,₹4.90 Lakh,"22,842 km",Petrol,Manual
372,2014 Maruti Wagon R 1.0 LXI,₹3.28 Lakh,"31,414 km",Petrol,Manual
373,2014 Honda City 1.5L I-VTEC VX,₹5.01 Lakh,"83,785 km",Petrol,Manual
374,2018 Maruti Baleno DELTA PETROL 1.2,₹5.40 Lakh,"33,546 km",Petrol,Manual
375,2011 Hyundai i10 SPORTZ 1.2,₹2.22 Lakh,"31,026 km",Petrol,Manual
376,2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,₹3.54 Lakh,"93,885 km",Petrol,Manual
377,2016 Hyundai i10 MAGNA 1.1,₹3.27 Lakh,"43,204 km",Petrol,Manual
378,2019 Honda City 1.5L I-VTEC VX,₹8.61 Lakh,"12,807 km",Petrol,Manual
379,2019 Renault Kwid RXT 1.0 AMT (O),₹3.84 Lakh,"33,363 km",Petrol,Automatic
380,2018 Honda WR-V 1.2L I-VTEC VX MT,₹6.37 Lakh,"71,123 km",Petrol,Manual
381,2014 Hyundai Xcent S 1.2,₹3.64 Lakh,"44,494 km",Petrol,Manual
382,2018 Hyundai Creta E PLUS 1.6 PETROL,₹8.21 Lakh,"50,792 km",Petrol,Manual
383,2012 Maruti Swift VXI,₹3.00 Lakh,"84,182 km",Petrol,Manual
384,2015 Honda City 1.5L I-VTEC VX CVT,₹6.20 Lakh,"41,038 km",Petrol,Automatic
385,2014 Maruti Swift Dzire ZXI,₹4.11 Lakh,"72,270 km",Petrol,Manual
386,2018 Maruti IGNIS ZETA 1.2,₹4.46 Lakh,"82,391 km",Petrol,Manual
387,2015 Honda CRV 2.0L I-VTEC 2WD AT,₹8.16 Lakh,"1,06,836 km",Petrol,Automatic
388,2016 Maruti Ciaz ZXI+ AT,₹5.39 Lakh,"1,04,635 km",Petrol,Automatic
389,2013 Maruti Alto 800 LXI CNG,₹2.15 Lakh,"92,442 km",CNG,Manual
390,2019 Toyota Glanza V CVT,₹6.78 Lakh,"59,520 km",Petrol,Automatic
391,2019 Hyundai Verna 1.6 VTVT SX (O) AT,₹8.76 Lakh,"55,015 km",Petrol,Automatic
392,2017 Maruti S Cross DELTA 1.3,₹7.28 Lakh,"95,603 km",Diesel,Manual
393,2020 Maruti Ciaz S 1.5 MT PETROL,₹8.30 Lakh,"42,385 km",Petrol,Manual
394,2016 Hyundai Creta SX PLUS AT 1.6 PETROL,₹8.63 Lakh,"83,402 km",Petrol,Automatic
395,2021 Toyota URBAN CRUISER PREMIUM GRADE AT,₹10.86 Lakh,"9,634 km",Petrol,Automatic
396,2018 Ford FREESTYLE TREND PLUS 1.2 PETROL,₹4.99 Lakh,"34,075 km",Petrol,Manual
397,2020 Hyundai GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,₹5.94 Lakh,"16,546 km",Petrol,Manual
398,2011 Hyundai i20 SPORTZ 1.2 VTVT,₹2.60 Lakh,"80,631 km",Petrol,Manual
399,2013 Hyundai i20 MAGNA 1.2,₹3.62 Lakh,"25,532 km",Petrol,Manual
400,2012 Honda City 1.5L I-VTEC V MT SUNROOF,₹3.80 Lakh,"75,850 km",Petrol,Manual
401,2022 MG HECTOR SHARP 2.0 DIESEL,₹17.13 Lakh,"23,144 km",Diesel,Manual
402,2017 Honda WR-V 1.2L I-VTEC VX MT,₹6.43 Lakh,"42,679 km",Petrol,Manual
403,2022 Volkswagen VIRTUS HIGHLINE TSI 1.0 MT,₹12.98 Lakh,"15,098 km",Petrol,Manual
404,2018 Hyundai NEW SANTRO SPORTZ CNG,₹4.09 Lakh,"1,25,815 km",CNG,Manual
405,2019 Ford Ecosport TITANIUM + 1.5L DIESEL,₹7.72 Lakh,"44,724 km",Diesel,Manual
406,2017 Maruti Wagon R 1.0 VXI+ (O) MT,₹4.16 Lakh,"19,526 km",Petrol,Manual
407,2012 Maruti Ertiga VDI,₹5.76 Lakh,"53,045 km",Diesel,Manual
408,2019 Maruti Baleno ZETA CVT PETROL 1.2,₹7.42 Lakh,"24,499 km",Petrol,Automatic
409,2021 Maruti New Wagon-R LXI 1.0,₹5.45 Lakh,"9,219 km",Petrol,Manual
410,2018 Maruti Dzire VXI AMT,₹6.29 Lakh,"36,318 km",Petrol,Automatic
411,2016 Maruti Ciaz ZXI AT,₹5.03 Lakh,"1,03,093 km",Petrol,Automatic
412,2015 Toyota Etios V,₹3.68 Lakh,"63,018 km",Petrol,Manual
413,2018 Datsun Redi Go S 1.0 AMT,₹2.70 Lakh,"28,050 km",Petrol,Automatic
414,2017 Hyundai Creta E PLUS 1.6 PETROL,₹8.11 Lakh,"26,370 km",Petrol,Manual
415,2018 Hyundai NEW SANTRO SPORTZ MT,₹4.20 Lakh,"29,692 km",Petrol,Manual
416,2022 Maruti Baleno ALPHA 1.2 AGS,₹9.19 Lakh,"19,548 km",Petrol,Automatic
417,2020 Maruti Ciaz ALPHA  AT 1.5 SHVS PETROL,₹9.47 Lakh,"10,096 km",Petrol,Automatic
418,2013 Skoda Rapid ELEGANCE 1.6 TDI CR MT,₹3.43 Lakh,"83,038 km",Diesel,Manual
419,2020 Maruti Ciaz ALPHA  AT 1.5 SHVS PETROL,₹8.79 Lakh,"27,830 km",Petrol,Automatic
420,2015 Volkswagen Polo COMFORTLINE 1.2L,₹3.97 Lakh,"87,969 km",Petrol,Manual
421,2013 Maruti Wagon R 1.0 LXI,₹2.86 Lakh,"12,575 km",Petrol,Manual
422,2014 Honda CRV 2.4 AWD AT,₹7.75 Lakh,"61,993 km",Petrol,Automatic
423,2016 Honda Jazz 1.2L I-VTEC V AT,₹5.37 Lakh,"21,007 km",Petrol,Automatic
424,2016 Maruti Wagon R 1.0 LXI CNG,₹3.57 Lakh,"94,290 km",CNG,Manual
425,2014 Hyundai i20 SPORTZ 1.2,₹3.82 Lakh,"23,143 km",Petrol,Manual
426,2018 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,₹4.55 Lakh,"59,942 km",Petrol,Manual
427,2018 Maruti IGNIS ALPHA 1.2 AMT,₹6.05 Lakh,"16,948 km",Petrol,Automatic
428,2021 MG HECTOR SHARP HYBRID 1.5 PETROL,₹15.14 Lakh,"30,233 km",Petrol,Manual
429,2019 Renault TRIBER RXZ,₹5.48 Lakh,"63,655 km",Petrol,Manual
430,2021 Renault Kwid CLIMBER 1.0 AMT (O),₹4.75 Lakh,"9,568 km",Petrol,Automatic
431,2022 Tata Harrier XZA PLUS 2.0L DARK EDITION,₹20.04 Lakh,"29,595 km",Diesel,Automatic
432,2018 Datsun Go Plus T,₹3.97 Lakh,"35,188 km",Petrol,Manual
433,2011 Hyundai i10 MAGNA 1.2,₹2.10 Lakh,"10,577 km",Petrol,Manual
434,2015 Hyundai Xcent SX AT 1.2 (O),₹4.56 Lakh,"72,194 km",Petrol,Automatic
435,2021 Hyundai AURA SX 1.2 (O),₹7.75 Lakh,"16,365 km",Petrol,Manual
436,2020 KIA SONET GTX PLUS 1.0 IMT,₹10.50 Lakh,"48,383 km",Petrol,Manual
437,2016 Honda Jazz 1.2L I-VTEC VX,₹4.82 Lakh,"32,058 km",Petrol,Manual
438,2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,₹4.42 Lakh,"59,305 km",Petrol,Manual
439,2017 Volkswagen Ameo COMFORTLINE 1.5L,₹4.63 Lakh,"83,100 km",Diesel,Manual
440,2011 Toyota Etios Liva G,₹2.62 Lakh,"79,607 km",Petrol,Manual
441,2019 Maruti Ciaz ALPHA DIESEL 1.5,₹8.81 Lakh,"55,317 km",Diesel,Manual
442,2019 Jeep Compass LIMITED 1.4 PETROL AT,₹13.88 Lakh,"51,693 km",Petrol,Automatic
443,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,₹3.72 Lakh,"59,809 km",Petrol,Manual
444,2017 Hyundai New Elantra 1.6 SX AT O,₹13.35 Lakh,"47,713 km",Diesel,Automatic
445,2014 Honda City 1.5L I-VTEC SV CVT,₹5.39 Lakh,"79,407 km",Petrol,Automatic
446,2013 Hyundai Verna FLUIDIC 1.6 VTVT SX,₹3.94 Lakh,"82,112 km",Petrol,Manual
447,2016 Hyundai Creta SX PLUS AT 1.6 PETROL,₹9.41 Lakh,"81,767 km",Petrol,Automatic
448,2013 Skoda Rapid AMBITION 1.6 TDI CR MT PLUS,₹3.45 Lakh,"64,018 km",Diesel,Manual
449,2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,₹4.48 Lakh,"47,121 km",CNG,Manual
450,2017 Maruti Wagon R 1.0 VXI,₹4.03 Lakh,"13,920 km",Petrol,Manual
451,2013 Maruti Ertiga VXI,₹5.11 Lakh,"55,773 km",Petrol,Manual
452,2019 Maruti Baleno ALPHA PETROL 1.2,₹6.33 Lakh,"56,557 km",Petrol,Manual
453,2019 Hyundai VENUE SX PLUS 1.0 TURBO DCT,₹8.58 Lakh,"1,13,346 km",Petrol,Automatic
454,2017 Maruti Alto 800 VXI,₹3.19 Lakh,"3,442 km",Petrol,Manual
455,2017 Maruti Wagon R 1.0 LXI CNG,₹3.80 Lakh,"92,589 km",CNG,Manual
456,2016 Renault Kwid RXT 0.8,₹2.73 Lakh,"66,266 km",Petrol,Manual
457,2012 Maruti Swift Dzire VXI,₹3.29 Lakh,"82,318 km",Petrol,Manual
458,2019 Mahindra XUV300 W8 (O) 1.2 PETROL,₹8.39 Lakh,"69,490 km",Petrol,Manual
459,2011 Toyota Etios V,₹2.23 Lakh,"97,364 km",Petrol,Manual
460,2012 Hyundai i10 ERA 1.1,₹2.05 Lakh,"31,370 km",Petrol,Manual
461,2018 Maruti Baleno ZETA CVT PETROL 1.2,₹6.57 Lakh,"29,002 km",Petrol,Automatic
462,2019 Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,₹6.17 Lakh,"20,873 km",Petrol,Automatic
463,2012 Honda Brio EX MT,₹2.45 Lakh,"39,621 km",CNG,Manual
464,2017 Hyundai Creta SX PLUS AT 1.6 PETROL,₹9.22 Lakh,"45,452 km",Petrol,Automatic
465,2016 Hyundai i20 Active 1.4 SX,₹5.42 Lakh,"1,19,312 km",Diesel,Manual
466,2019 Ford Ecosport TITANIUM + 1.5L PETROL AT,₹8.52 Lakh,"27,910 km",Petrol,Automatic
467,2021 Maruti New Wagon-R LXI CNG 1.0,₹5.88 Lakh,"32,970 km",CNG,Manual
468,2018 Hyundai Creta SX AT 1.6 PETROL,₹10.88 Lakh,"58,536 km",Petrol,Automatic
469,2021 Tata NEXON XZA PLUS (O) PETROL DARK EDITION,₹10.62 Lakh,"48,451 km",Petrol,Automatic
470,2011 Hyundai i10 SPORTZ 1.2,₹2.14 Lakh,"29,938 km",Petrol,Manual
471,2017 Maruti Celerio ZXI,₹4.09 Lakh,"37,271 km",CNG,Manual
472,2020 Maruti S PRESSO VXI+,₹4.15 Lakh,"17,853 km",Petrol,Manual
473,2019 Maruti Ciaz DELTA 1.5 SHVS MT PETROL,₹7.84 Lakh,"11,136 km",Petrol,Manual
474,2012 Hyundai i20 SPORTZ 1.2,₹3.01 Lakh,"50,381 km",Petrol,Manual
475,2017 Volkswagen Vento HIGHLINE PETROL AT,₹6.70 Lakh,"44,708 km",Petrol,Automatic
476,2021 Tata ALTROZ XZ 1.5 RTQ,₹8.10 Lakh,"43,792 km",Diesel,Manual
477,2020 Hyundai AURA SX 1.2 (O),₹7.12 Lakh,"26,560 km",Petrol,Manual
478,2015 Hyundai i20 Active 1.2 S,₹4.86 Lakh,"49,784 km",Petrol,Manual
479,2018 Tata NEXON XM PETROL,₹6.50 Lakh,"39,594 km",Petrol,Manual
480,2018 Tata TIGOR XZA PETROL,₹5.43 Lakh,"48,115 km",Petrol,Automatic
481,2018 Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,₹5.44 Lakh,"23,569 km",Petrol,Automatic
482,2021 Hyundai GRAND I10 NIOS ASTA AMT 1.2 KAPPA VTVT,₹7.17 Lakh,"23,986 km",Petrol,Automatic
483,2017 Jeep Compass LIMITED 2.0 DIESEL,₹10.67 Lakh,"65,841 km",Diesel,Manual
484,2020 Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,₹6.52 Lakh,"40,882 km",Petrol,Automatic
485,2018 Hyundai Verna 1.6 VTVT SX (O) AT,₹8.84 Lakh,"63,815 km",Petrol,Automatic
486,2017 Toyota Corolla Altis VL CVT PETROL,₹11.07 Lakh,"56,356 km",Petrol,Automatic
487,2016 Maruti Baleno ZETA PETROL 1.2,₹5.10 Lakh,"46,377 km",Petrol,Manual
488,2012 Maruti Wagon R 1.0 LXI CNG,₹2.53 Lakh,"66,379 km",CNG,Manual
489,2019 Honda City 1.5L I-VTEC VX CVT,₹9.09 Lakh,"24,522 km",Petrol,Automatic
490,2011 Hyundai i10 MAGNA 1.1,₹2.04 Lakh,"43,300 km",Petrol,Manual
491,2018 Maruti Baleno ALPHA CVT PETROL 1.2,₹6.47 Lakh,"56,550 km",Petrol,Automatic
492,2022 Tata TIGOR XZ PLUS CNG,₹7.72 Lakh,"13,907 km",CNG,Manual
493,2017 Maruti Celerio VXI CNG,₹3.94 Lakh,"89,815 km",CNG,Manual
494,2022 Tata Harrier XZA PLUS 2.0L KAZIRANGA,₹19.86 Lakh,"47,235 km",Diesel,Automatic
495,2019 Maruti New Wagon-R LXI CNG 1.0,₹5.38 Lakh,"66,502 km",CNG,Manual
496,2019 Honda Jazz 1.2L I-VTEC VX CVT,₹6.20 Lakh,"47,822 km",Petrol,Automatic
497,2014 Maruti Wagon R 1.0 LXI CNG,₹3.09 Lakh,"41,979 km",CNG,Manual
498,2019 Honda Jazz 1.2L I-VTEC VX CVT,₹7.18 Lakh,"18,843 km",Petrol,Automatic
499,2018 Maruti Baleno ZETA CVT PETROL 1.2,₹5.53 Lakh,"61,450 km",Petrol,Automatic
500,2016 Hyundai Creta SX PLUS AT 1.6 PETROL,₹9.27 Lakh,"73,228 km",Petrol,Automatic
501,2021 Tata ALTROZ XZ DIESEL,₹7.64 Lakh,"41,442 km",Diesel,Manual
502,2021 Tata NEXON XZA PLUS SUNROOF DUAL TONE PETROL,₹10.81 Lakh,"9,755 km",Petrol,Automatic
503,2015 Hyundai Elite i20 SPORTZ 1.2,₹4.57 Lakh,"50,518 km",Petrol,Manual
504,2019 Maruti New Wagon-R LXI CNG 1.0,₹5.49 Lakh,"61,997 km",CNG,Manual
505,2014 Volkswagen Polo HIGHLINE1.2L,₹4.04 Lakh,"83,792 km",Petrol,Manual
506,2017 Hyundai Creta SX PLUS AT 1.6 PETROL,₹8.82 Lakh,"60,410 km",Petrol,Automatic
507,2021 Hyundai VENUE SX PLUS 1.0 TURBO DCT,₹10.05 Lakh,"36,818 km",Petrol,Automatic
508,2021 Maruti New Wagon-R LXI CNG (O) 1.0,₹6.35 Lakh,"13,333 km",CNG,Manual
509,2018 Tata NEXON XZA PLUS DIESEL,₹6.98 Lakh,"1,09,484 km",Diesel,Automatic
510,2012 Maruti Ertiga VDI,₹4.91 Lakh,"1,06,980 km",Diesel,Manual
511,2018 Jeep Compass LIMITED (O) 1.4 PETROL AT,₹12.18 Lakh,"82,744 km",Petrol,Automatic
512,2015 Maruti Swift ZDI,₹5.69 Lakh,"55,982 km",Diesel,Manual
513,2014 Maruti Wagon R 1.0 LXI CNG,₹3.07 Lakh,"56,662 km",CNG,Manual
514,2015 Hyundai Elite i20 ASTA 1.2,₹4.76 Lakh,"39,003 km",Petrol,Manual
515,2015 Maruti Wagon R 1.0 LXI CNG,₹3.46 Lakh,"72,957 km",CNG,Manual
516,2013 Hyundai i20 SPORTZ 1.2,₹3.22 Lakh,"90,372 km",Petrol,Manual
517,2020 Renault TRIBER RXT AMT,₹6.47 Lakh,"19,943 km",Petrol,Automatic
518,2017 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,₹4.73 Lakh,"77,988 km",CNG,Manual
519,2014 Hyundai Eon MAGNA +,₹2.44 Lakh,"46,955 km",Petrol,Manual
520,2014 Maruti Wagon R 1.0 LXI CNG,₹3.06 Lakh,"96,139 km",CNG,Manual
521,2012 Honda Brio S MT,₹2.31 Lakh,"54,795 km",Petrol,Manual
522,2018 Datsun Redi Go T(O) 1.0 AMT,₹2.98 Lakh,"16,480 km",Petrol,Automatic
523,2011 Hyundai i10 SPORTZ 1.2,₹2.16 Lakh,"50,415 km",Petrol,Manual
524,2015 Maruti Wagon R 1.0 LXI CNG,₹3.63 Lakh,"84,850 km",CNG,Manual
525,2016 Maruti Baleno DELTA PETROL 1.2,₹5.05 Lakh,"43,273 km",Petrol,Manual
